Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
261,,BUSCAPINA 10U,,Productos ,"$ 4.713,96","$5.703,89 "
259,,BUSCAPINA CTA.REDONDA,,Productos ,"$ 4.563,92","$5.522,34 "
260,,BUSCAPINA PERLA X10U,,Productos ,"$ 3.826,17","$4.629,66 "
263,,CAFIASPIRINA 100U,,Productos ,"$ 1.500,66","$1.815,80 "
262,,CAFIASPIRINA PLUS,,Productos ,"$ 0,10","$0,12 "
483,,CHICLE FEEN A MINT,,Productos ,"$ 2.840,02","$3.436,42 "
474,,COLECTORES VASO PLASTICO,,Productos ,"$ 180,63","$218,56 "
264,,CURITAS X8U,,Productos ,"$ 400,42","$484,51 "
265,,DICLOFENAC X15U,,Productos ,"$ 421,49","$510,00 "
266,,DORIXINA 10U,,Productos ,"$ 1.302,56","$1.576,10 "
267,,GASA SUEZ X10 SOBRES,,Productos ,"$ 2.003,48","$2.424,21 "
536,,GENIOL 1G 8U,,Productos ,"$ 1.102,51","$1.334,04 "
268,,IBU EVANOL ACCION RAPIDA X10U,,Productos ,"$ 1.655,47","$2.003,12 "
269,,IBU EVANOL FORTE X 10U,,Productos ,"$ 2.103,66","$2.545,43 "
270,,IBU EVANOL PLUS X10U,,Productos ,"$ 1.832,74","$2.217,61 "
274,,IBUPIRAC 400,,Productos ,"$ 444,18","$537,46 "
271,,IBUPIRAC 600 10U,,Productos ,"$ 4.157,29","$5.030,32 "
273,,IBUPIRAC MIGRA 10U,,Productos ,"$ 4.136,30","$5.004,92 "
275,,IBUPROFENO 400,,Productos ,"$ 597,80","$723,34 "
276,,IBUPROFENO 600,,Productos ,"$ 834,97","$1.010,31 "
304,,KETEROLAC,,Productos ,"$ 479,07","$579,67 "
547,,MANTECA CACAO DISMAR,,Productos ,"$ 82,63","$99,98 "
277,,MEJORALITO PARA NIÑOS X20U,,Productos ,"$ 1.845,48","$2.233,03 "
279,,MIGRAL CTO X10U,,Productos ,"$ 3.342,29","$4.044,17 "
278,,MIGRAL RED 500 10U,,Productos ,"$ 3.206,29","$3.879,61 "
467,,MILANTA,,Productos ,"$ 2.212,43","$2.677,04 "
280,,NEXT X10U,,Productos ,"$ 3.472,26","$4.201,43 "
281,,NOVALGINA X10U,,Productos ,"$ 4.655,32","$5.632,94 "
335,,OMEPRASOL,,Productos ,"$ 651,92","$788,82 "
282,,PASTILLA DE CARBON X10U,,Productos ,"$ 819,04","$991,04 "
283,,QUITAESMALTE CUTEX,,Productos ,"$ 1.103,36","$1.335,07 "
284,,QURAPLUS,,Productos ,"$ 2.814,49","$3.405,53 "
336,,REFRIANEX 20U,,Productos ,"$ 2.613,98","$3.162,91 "
285,,SERTAL CTO X10U,,Productos ,"$ 4.601,98","$5.568,40 "
286,,SERTAL PERLA 10U,,Productos ,"$ 3.210,88","$3.885,16 "
300,,SUERO FISIOLOGICO 100ML,,Productos ,"$ 512,59","$620,23 "
289,,TAFIROL 500GRS 10U,,Productos ,"$ 1.728,15","$2.091,06 "
287,,TAFIROL FORTE,,Productos ,"$ 1.794,94","$2.171,88 "
288,,TAFIROL PLUS ACCION RAPIDA X8U,,Productos ,"$ 2.095,40","$2.535,43 "
290,,TE VIC X50,,Productos ,"$ 1.266,66","$1.532,66 "
292,,UVASAL 15U LIMON / NARANJA,,Productos ,"$ 666,23","$806,14 "
291,,UVASAL X15,,Productos ,"$ 720,71","$872,06 "
673,,VIRIPOTENS 50 X2U,,Productos ,"$ 251,76","$304,63 "
462,,BARRA DE CEREAL FORT 24U,,Productos ,"$ 424,94","$514,18 "
563,,BOTELLITAS DE LICOR X20U,,Productos ,"$ 2.834,68","$3.429,96 "
722,,CERICET FELFORT 24U,,Productos ,"$ 18.657,58","$22.575,67 "
507,,CHOC JACK NEGRO X20U,,Productos ,"$ 209,71","$253,75 "
150,,CHOC. CON LECHE Y MANI FELFORT X75GRS,,Productos ,"$ 3.203,97","$3.876,80 "
550,,CHUPELATIN FELFORT X32U,,Productos ,"$ 833,60","$1.008,66 "
149,,DOS CORAZONES X20U,,Productos ,"$ 950,13","$1.149,66 "
152,,FEELING X30U,,Productos ,"$ 494,46","$598,30 "
157,,JACKELINE 15U,,Productos ,"$ 10.661,97","$12.900,98 "
153,,KOOKY BON X30U,,Productos ,"$ 8.043,57","$9.732,72 "
