Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
909,,GALL. TRIO MINI PEPAS 300GRS,,Productos ,"$ 774,79","$937,50 "
841,,GALL. TRIO PEPAS ALEMANA 300GRS,,Productos ,"$ 743,80","$899,99 "
627,,GALL. TRIO PEPAS C/ MEMBRILLO 300GRS,,Productos ,"$ 743,80","$899,99 "
842,,GALL. TRIO PEPAS C/CHIPS 300GRS,,Productos ,"$ 743,80","$899,99 "
910,,GALL. TRIO PEPONAS 300GRS,,Productos ,"$ 743,80","$899,99 "
899,,GALL. TRIO SCONS 320GRS,,Productos ,"$ 743,80","$899,99 "
904,,GALL. TRIO SURTIDAS VARIETTE 350GRS,,Productos ,"$ 743,80","$899,99 "
906,,GALL. TRIO TARTELETTE FRUTILLA 300GRS,,Productos ,"$ 743,80","$899,99 "
907,,GALL. TRIO TARTELETTE FRUTOS DEL BOSQUE 300GRS,,Productos ,"$ 743,80","$899,99 "
843,,GALL. TRIO TRICHIPS 300GRS,,Productos ,"$ 743,80","$899,99 "
839,,GALL. TRIO TRICHOC 300GRS,,Productos ,"$ 743,80","$899,99 "
929,,PROF. TULIPAN 3U,,Productos ,"$ 1.107,30","$1.339,83 "
127,,COPITOS DULCE DE LECHE TURIMAR,,Productos ,"$ 4.035,09","$4.882,46 "
864,,GALL. TURIMAR SURTIDAS 350GRS,,Productos ,"$ 895,77","$1.083,88 "
128,,TURIMAR CHIPS 400GRS,,Productos ,"$ 1.367,76","$1.654,99 "
737,,MEREMBON 12U,,Productos ,"$ 1.622,86","$1.963,66 "
357,,MERENGUITOS BLANCOS/COLOR,,Productos ,"$ 600,68","$726,82 "
570,,MERENKOA X10U,,Productos ,"$ 3.365,64","$4.072,42 "
607,,PITILLOS URQUIZA 200GRS,,Productos ,"$ 1.402,93","$1.697,55 "
527,,PITILLOS URQUIZA X 1.5KG,,Productos ,"$ 8.930,84","$10.806,32 "
788,,TALITAS BRURIN AJO/OLIVA 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
790,,TALITAS BRURIN BARBACOA 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
786,,TALITAS BRURIN CEBOLLA 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
787,,TALITAS BRURIN CHEDDAR 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
782,,TALITAS BRURIN CLASICA 13U 100GRS,,Productos ,"$ 635,03","$768,39 "
784,,TALITAS BRURIN JAMON 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
785,,TALITAS BRURIN PIZZA 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
783,,TALITAS BRURIN QUESO 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
789,,TALITAS BRURIN SALAME 15U 100GRS,,Productos ,"$ 635,03","$768,39 "
943,,BENGALAS FUEGOLANDIA 4U,,Productos ,"$ 865,66","$1.047,45 "
555,,BOCADITOS BEL SURTIDO X50U,,Productos ,"$ 3.558,48","$4.305,76 "
439,,BOMBUCHAS CANDELA X100U,,Productos ,"$ 176,95","$214,11 "
947,,CAJA NAVIDEÑA Nº3,,Productos ,"$ 28.630,58","$34.643,00 "
763,,COPITOS PABLITO 2KG,,Productos ,"$ 1.718,18","$2.079,00 "
926,,FOSFOROS TRES PATITOS,,Productos ,"$ 383,36","$463,87 "
655,,GARRAPIÑADA DULCE POSADA X100GRS 36U,,Productos ,"$ 216,38","$261,82 "
438,,GLOBOS LISO 50U,,Productos ,"$ 1.731,31","$2.094,89 "
795,,TURRON CROCANTE DULCE POSADA 90GRS,,Productos ,"$ 72,49","$87,71 "
651,,TURRON MANI DULCE POSADA 90GRS X35U,,Productos ,"$ 207,09","$250,58 "
730,,ALF. VAUQUITA 75GRS BLANCO,,Productos ,"$ 67,55","$81,73 "
731,,ALF. VAUQUITA 75GRS CAPUCCINO,,Productos ,"$ 67,55","$81,73 "
732,,ALF. VAUQUITA 75GRS NEGRO,,Productos ,"$ 67,55","$81,73 "
594,,CHOC. VAUQUITA 35GRS X12U,,Productos ,"$ 47,34","$57,28 "
554,,COPITOS VIMAR X12U,,Productos ,"$ 0,83","$1,00 "
332,,HOJALMAR BASTON X150GRS,,Productos ,"$ 713,49","$863,32 "
148,,HOJALMAR BASTON X250 GRS,,Productos ,"$ 1.049,14","$1.269,46 "
147,,HOJALMAR TRIANGULOS 250GRS,,Productos ,"$ 1.049,14","$1.269,46 "
774,,RONDA HOJALDRE X150GRS LARGUITAS,,Productos ,"$ 454,75","$550,25 "
333,,RONDA HOJALDRE X150GRS TRIANGULITO,,Productos ,"$ 606,34","$733,67 "
317,,COCO PARNOR 400GRS,,Productos ,"$ 1.239,12","$1.499,34 "
932,,COQUITOS PARNOR 170GRS,,Productos ,"$ 480,46","$581,36 "
958,,COQUITOS PARNOR 170GRS SIN CARGO,,Productos ,"$ 480,46","$581,36 "
931,,MOROCHITAS PARNOR 140GRS,,Productos ,"$ 480,46","$581,36 "
299,,MOROCHITAS PARNOR 360GRS,,Productos ,"$ 1.239,12","$1.499,34 "
533,,MOROCHITAS X 4.5 KG,,Productos ,"$ 14.530,08","$17.581,40 "
809,,PEPITAS PARNOR SUELTA,,Productos ,"$ 2.891,24","$3.498,40 "
167,,PITUSAS 160GRS,,Productos ,"$ 590,74","$714,79 "
166,,PITUSAS 300GRS,,Productos ,"$ 1.056,30","$1.278,12 "
634,,PITUSAS CAJA 4KG SUELTAS,,Productos ,"$ 13.087,31","$15.835,64 "
914,,PITUSAS MERENGUE 160GRS,,Productos ,"$ 546,98","$661,85 "
